"Visitor Capture Live Chat","Visitor Capture Live Chat | Customer Communication Platform"
"site_description","Visitor Capture Live Chat - Customer Communication Platform"
"site_keywords","Visitor Capture Live Chat,mobile customer service,customer communication,in-app message,intercom alternative,instant message SDK, python IM system, open source customer service, online customer service"
"online_service_platform","Online Service Platform"

"menu_main","Home"
"menu_doc","Documentation"
"menu_download","Download"

"company_name","Visitor Capture, Ltd."
"site_record_number","123456-2"
"service_terms","Terms"
"privacy_policy","Privacy"

"slogan","Visitor Capture Customer Communication Platform"
"simple_slogan","customer communication platform"

"register_to_use","Using Visitor Capture Live Chat"
"free_register","Register"
"get_started","Start to use Platform"
"get_started_free","Get started with Platform for free"

"blog",Blog
"bbs",BBS
"forum",Forum
"today",TODAY

"get_ppmessage","Get Visitor Capture Live Chat"
"download_ppmessage","Download Visitor Capture Live Chat"
"install_ppmessage","Install Visitor Capture Live Chat to keep touch with your customer"

"scan_qrcode","Scan qrcode to download app"
"download_directly": "Download directly"
"comming_soon", "incomming"

"three_steps_integration","Integration with Visitor Capture Live Chat is so easy ..."
"three_steps_register","Register a team in Visitor Capture Live Chat"
"three_steps_embedded","Code embedded"
"three_steps_chat","Start chat"
